Dataset,Model,Accuracy,Precision,Recall,F1_Score
Obesity,Logistic Regression,0.9617224880382775,0.9626598303635552,0.9617224880382775,0.9612365328583308
Obesity,Decision Tree,0.9665071770334929,0.9665974384757977,0.9665071770334929,0.9664939718565332
Obesity,Random Forest,0.9784688995215312,0.9794085479225657,0.9784688995215312,0.9782958336103321
Obesity,XGBoost,0.9856459330143541,0.9860810553043344,0.9856459330143541,0.9855848138296907
Obesity,CatBoost,0.9760765550239234,0.9771338597117256,0.9760765550239234,0.9758403713922484
Hospital,Logistic Regression,0.9949238578680203,0.9949665145245915,0.9949238578680203,0.994918400970891
Hospital,Decision Tree,0.9949238578680203,0.9949665145245915,0.9949238578680203,0.994918400970891
Hospital,Random Forest,0.9949238578680203,0.9949665145245915,0.9949238578680203,0.994918400970891
Hospital,XGBoost,1.0,1.0,1.0,1.0
Hospital,CatBoost,0.9949238578680203,0.9949665145245915,0.9949238578680203,0.994918400970891
Healthcare,Logistic Regression,0.3309987265781335,0.33214698842957485,0.3309987265781335,0.30744054286210293
Healthcare,Decision Tree,0.40722212115699474,0.40726882852330004,0.40722212115699474,0.4072327876865371
Healthcare,Random Forest,0.4332363107149354,0.4332889507567932,0.4332363107149354,0.433129086067538
Healthcare,XGBoost,0.36929234127706023,0.36944434487143496,0.36929234127706023,0.3692833080630148
Healthcare,CatBoost,0.3508277242132072,0.35091840781082884,0.3508277242132072,0.3508169147088326
