Feature,Importance
Billing Amount,0.12710147190461135
Room Number,0.12448110231369723
Age,0.10213132340699753
Length_of_Stay,0.09576405261706437
Admission_Month,0.07994062174198502
Admission_Year,0.05741076833701024
Gender_Male,0.021733918101440826
Admission Type_Urgent,0.019736627674885737
Admission Type_Emergency,0.01944426056561128
Medication_Penicillin,0.015923950735531656
Medication_Ibuprofen,0.015867613194397633
Insurance Provider_Cigna,0.01563874993736757
Medication_Paracetamol,0.015618521850348647
Insurance Provider_Medicare,0.015335764715971265
Medication_Lipitor,0.01495435885619827
Medical Condition_Diabetes,0.01439231172910161
Insurance Provider_Blue Cross,0.01424283619512542
Medical Condition_Cancer,0.014234634671150565
Medical Condition_Obesity,0.014190385568052095
Billing_Category_Medium,0.013936183912853516
Insurance Provider_UnitedHealthcare,0.013719461684910122
Medical Condition_Asthma,0.013101804374104018
Blood Type_A-,0.012660967105064203
Medical Condition_Hypertension,0.012640919574728697
Blood Type_O+,0.012436727464459237
Blood Type_B-,0.012431211107504322
Blood Type_AB-,0.012364636932585578
Blood Type_O-,0.012338761229697428
Blood Type_AB+,0.011874953564453682
Age_Group_31-45,0.011694245518843665
Blood Type_B+,0.011630744984126633
Age_Group_46-60,0.011230569363237448
Billing_Category_Low,0.010747390502434616
Age_Group_60+,0.010576409835665513
Stay_Category_Medium Stay,0.009859987369995356
Stay_Category_Short Stay,0.006667806705143008
Age_Group_Under 18,0.0019439446536447006
