Feature,LIME_Weight
Age <= 35.00,0.016362826242194175
0.00 < Gender_Male <= 1.00,0.006118680941843817
13243.72 < Billing Amount <= 25542.75,0.005398948820250564
Admission_Month <= 4.00,-0.004840622272074468
Medication_Penicillin <= 0.00,-0.0035267456124829667
302.00 < Room Number <= 401.00,0.0032437908544072336
Length_of_Stay <= 8.00,-0.0031437353881839268
Admission Type_Emergency <= 0.00,-0.002752057413269081
0.00 < Admission Type_Urgent <= 1.00,0.0017338041989313966
Admission_Year > 2023.00,9.475574938010453e-05
