Feature,Importance
BMI,0.27021606888801697
Weight,0.13568177032463213
BMI_Category_Overweight,0.08601467381266331
BMI_Category_Obese,0.08295238009913133
BMI_Category_Underweight,0.06927342568703095
FCVC,0.05087693938189664
Gender_Male,0.04834433738770116
Age,0.04168001598320543
Height,0.04028181565283337
NCP,0.025047649350366023
CH2O,0.01864271608596388
TUE,0.018107805718619193
FAF,0.01647336044218365
family_history_with_overweight_yes,0.011835418283637388
CALC_no,0.011790663818398993
CALC_Sometimes,0.011308586515783495
CAEC_Sometimes,0.008707508165469996
CAEC_Frequently,0.007740751052138755
MTRANS_Public_Transportation,0.007210173678029046
FAVC_yes,0.0067320055749209955
Age_Group_31-45,0.0062931242878683435
Age_Group_Under 18,0.0038909565211479686
Physical_Activity_Level_Moderate,0.0038723110558344376
Water_Intake_Level_Low,0.0037549352069907085
Water_Intake_Level_Moderate,0.0030842093154779104
Physical_Activity_Level_Low,0.0030426637336448863
SCC_yes,0.002485463860523846
MTRANS_Walking,0.0012447859375274326
CALC_Frequently,0.0011656542267858088
SMOKE_yes,0.0007118442925747254
CAEC_no,0.0007097296575433568
Age_Group_46-60,0.0005212717834600341
MTRANS_Bike,0.0001721648527416595
MTRANS_Motorbike,0.0001150506759313486
Age_Group_60+,1.7768689324958266e-05
